X,Y,Z
-651,686,-743
-636,715,-727
-653,695,-733
-648,692,-738
-648,692,-743
-646,700,-763
-648,681,-748
-636,712,-743
-653,678,-746
-648,692,-751
-632,702,-748
-648,695,-758
-632,690,-743
-648,688,-731
-641,697,-756
-643,710,-751
-636,702,-751
-641,710,-756
-646,688,-731
-648,690,-768
-641,700,-773
-651,695,-756
-676,673,-756
-638,692,-738
-653,705,-717
-646,692,-748
-648,671,-738
-656,702,-748
-641,697,-756
-643,695,-741
-653,676,-751
-641,692,-771
-638,697,-771
-641,705,-746
-630,717,-720
-641,692,-753
-651,702,-768
-630,700,-756
-653,705,-727
-651,695,-738
-638,695,-753
-653,671,-778
-641,695,-733
-651,688,-736
-646,692,-741
-651,681,-748
-656,695,-743
-643,688,-741
-643,700,-753
-653,702,-756
-638,683,-731
-646,695,-746
-641,707,-758
-632,683,-758
-648,683,-771
-643,697,-763
-636,690,-758
-632,697,-776
-633,688,-746
-643,707,-736
-648,690,-733
-646,676,-727
-646,686,-741
-646,686,-748
-648,683,-753
-651,695,-758
-636,697,-758
-651,692,-748
-653,700,-751
-632,692,-756
-643,690,-741
-648,702,-741
-643,697,-748
-641,695,-756
-643,683,-786
-632,707,-748
-632,688,-741
-646,697,-746
-638,690,-743
-641,697,-751
-646,681,-743
-651,695,-738
-651,678,-746
-653,683,-746
-636,690,-751
-653,692,-743
-648,688,-753
-643,697,-731
-648,686,-753
-648,690,-751
-646,692,-771
-643,712,-731
-653,702,-753
-636,683,-756
-646,705,-781
-648,688,-758
-651,700,-756
-653,681,-738
-646,681,-763
-643,688,-763
-666,686,-758
-648,697,-753
-663,697,-751
-653,686,-753
-656,683,-753
-638,688,-756
-636,690,-761
-656,688,-746
-641,700,-736
-638,692,-738
-638,692,-738
-656,690,-781
-648,683,-746
-656,690,-783
-643,695,-758
-633,712,-761
-663,661,-776
-648,702,-738
-658,688,-738
-636,712,-741
-643,686,-751
-633,688,-766
-653,710,-763
-633,678,-756
-636,695,-748
-651,688,-753
-651,697,-771
-651,697,-766
-638,700,-746
-648,690,-746
-653,695,-756
-646,695,-768
-638,692,-771
-643,697,-771
-661,700,-743
-661,688,-748
-643,690,-763
-661,683,-766
-641,683,-746
-651,702,-756
-643,686,-751
-646,688,-746
-630,705,-733
-646,695,-743
-656,676,-771
-653,695,-743
-651,700,-736
-653,688,-756
-648,690,-756
-653,692,-753
-636,688,-743
-638,688,-758
-633,695,-776
-643,688,-771
-651,688,-751
-648,688,-741
-653,683,-743
-638,688,-758
-636,692,-748
-641,697,-753
-651,688,-751
-651,697,-748
-658,686,-753
-663,692,-748
-658,690,-748
-676,692,-733
-678,690,-731
-693,690,-743
-706,688,-746
-686,695,-751
-701,668,-748
-711,692,-715
-728,686,-733
-726,702,-725
-747,668,-725
-770,676,-715
-785,661,-722
-787,656,-725
-787,627,-725
-790,602,-727
-787,605,-738
-800,633,-727
-805,627,-720
-825,631,-700
-827,638,-692
-858,617,-707
-863,628,-690
-886,643,-657
-916,656,-650
-923,676,-646
-928,681,-631
-933,666,-628
-960,661,-588
-965,676,-578
-982,681,-588
-992,663,-571
-1000,686,-576
-1025,681,-573
-1032,697,-550
-1042,688,-535
-1032,707,-530
-1042,730,-507
-1052,710,-535
-1042,712,-510
-1058,710,-515
-1047,717,-512
-1050,732,-532
-1068,710,-532
-1066,730,-502
-1071,722,-507
-1078,705,-530
-1088,740,-487
-1091,732,-483
-1086,730,-468
-1093,725,-471
-1106,732,-478
-1106,730,-466
-1103,740,-451
-1131,725,-451
-1123,732,-436
-1133,727,-428
-1121,756,-423
-1156,730,-446
-1158,740,-428
-1156,727,-421
-1156,722,-418
-1156,745,-431
-1170,742,-418
-1167,740,-397
-1180,753,-375
-1185,740,-355
-1200,725,-370
-1212,730,-337
-1220,717,-350
-1232,710,-327
-1235,725,-327
-1242,722,-321
-1252,720,-313
-1260,722,-301
-1252,720,-286
-1268,725,-240
-1268,715,-266
-1281,712,-271
-1291,710,-278
-1276,715,-246
-1273,730,-222
-1311,702,-230
-1306,720,-217
-1313,695,-251
-1313,697,-215
-1318,695,-197
-1338,673,-200
-1343,666,-217
-1348,671,-172
-1343,673,-177
-1338,692,-148
-1348,678,-133
-1368,681,-128
-1358,671,-126
-1363,686,-106
-1377,678,-81
-1380,673,-57
-1385,683,-75
-1385,686,-75
-1392,695,-75
-1392,690,-47
-1390,673,-40
-1387,673,-42
-1377,692,-12
-1402,656,-22
-1402,656,0
,,
-1402,668,0
,,
-1402,656,17
-1385,658,35
-1412,671,35
-1417,666,57
-1417,653,101
-1427,646,118
-1450,627,118
-1440,633,123
-1450,646,148
-1440,610,151
-1430,638,148
-1455,628,162
-1440,620,156
-1460,620,170
-1447,612,180
-1455,597,195
-1457,590,185
-1450,595,177
-1475,585,177
-1465,572,200
-1452,585,190
-1455,570,185
-1465,572,205
-1447,582,212
-1470,582,217
-1467,558,235
-1475,567,237
-1478,572,240
-1478,572,235
-1493,548,225
-1470,570,278
-1457,577,293
-1470,585,303
-1440,590,313
-1442,602,325
-1425,617,370
-1422,627,377
-1420,625,385
-1410,625,382
-1422,648,395
-1420,628,397
-1422,625,413
-1405,627,408
-1415,643,413
-1422,643,431
-1422,661,423
-1410,636,426
-1385,668,448
-1397,661,433
-1377,686,446
-1412,658,441
-1363,702,473
-1385,683,487
-1387,671,492
-1377,668,497
-1363,671,525
-1346,702,540
-1348,688,530
-1333,678,560
-1313,688,591
-1348,676,562
-1341,668,603
-1331,697,611
-1326,683,616
-1323,692,618
-1336,702,623
-1326,697,608
-1328,695,641
-1301,690,660
-1313,697,667
-1303,695,660
-1316,697,677
-1303,712,697
-1283,722,682
-1265,697,695
-1298,700,690
-1257,688,725
-1245,683,738
-1250,697,736
-1265,697,725
